species,heb_species,indigeneous,habitat,season_start,season_end,season_peak,fishing_trawl_1,fishing_seine_2,fishing_longline_3,fishing_rod_boat_4,fishing_nets_5,fishing_spear_6,fishing_rod_shore_7
Loligo vulgaris ,לוליגו שקוף,TRUE,pelagic,1,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Upeneus pori ,אופון חום-פס,FALSE,soft,4,10,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chelidonichthys lucerna ,טריגלה חלקה,TRUE,soft,12,5,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Lepidotrigla cavillone ,טריגלה ים-תיכונית,TRUE,soft,2,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pomatomus saltatrix ,גומבר טורפני,TRUE,pelagic,3,7,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Balistes capriscus ,נצרן ים-תיכוני,TRUE,pelagic,4,7,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Scomberomorus commerson ,סקומברן זריז,FALSE,pelagic,4,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Seriola dumerili ,סריול אטלנטי,TRUE,pelagic,6,7,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Caranx crysos ,צנינית אטלנטית,TRUE,pelagic,6,9,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Pseudocaranx dentex ,צנינית שיננית,TRUE,pelagic,6,9,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Argyrosomus regius ,מוסר מלכותי,TRUE,soft,4,7,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dentex dentex ,שינן הניבים,TRUE,soft,4,5,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mycteroperca rubra ,דוקרנית אדומה,TRUE,hard,12,5,5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Epinephelus marginatus ,דקר הסלעים,TRUE,hard,4,7,6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Diplodus puntazzo ,חדון אזור,TRUE,hard,9,12,9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Dicentrachus labrax ,לברק חלק,TRUE,hard,12,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Sarpa salpa ,סלפית צהובת-פסים,TRUE,hard,9,11,10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mugil cephalus ,קיפון גדול-ראש,TRUE,hard,6,9,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Liza aurata ,קיפון זהוב,TRUE,hard,8,11,9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Liza ramada ,קיפון טובר,TRUE,hard,10,12,11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Etrumeus golanii ,אטרומאוס כל-ימי,FALSE,pelagic,12,5,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dussumieria elopsoides ,דוסמר מצוי,FALSE,pelagic,3,7,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sardina pilchardus ,סרדין צפוני,TRUE,pelagic,11,4,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Engraulis encrasicolus ,עפין (אנשובי),TRUE,pelagic,4,9,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sphyraena chrysotaenia ,אספירנה מליטה,FALSE,pelagic,5,10,7,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sardinella aurita ,טרית דקה,TRUE,pelagic,5,9,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Trachurus mediterraneus ,טרכון ים-תיכוני,TRUE,pelagic,5,8,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Trachurus trachurus ,טרכון רחב-מגינים,TRUE,pelagic,3,5,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Decapterus russelli ,סמרנון ראסל,TRUE,pelagic,5,6,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Alepes djedaba ,צנינון דו-ימי,FALSE,pelagic,8,11,9,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Scomber colias,קוליס כל-ימי ,,pelagic,4,6,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Merluccius merluccius ,בקלה ים-תיכונית,TRUE,soft,1,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Boops boops ,גובוס גלילי,TRUE,soft,2,5,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Spicara maena ,מינון הכתם,TRUE,soft,3,6,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Spicara smaris ,מינון שלוח,TRUE,soft,3,4,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Nemipterus randalli ,נימי דו-ימי,FALSE,soft,4,9,5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Dentex gibbosus ,שינן החוט,TRUE,soft,8,10,9,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Epinephelus aeneus ,דקר המכמורת,TRUE,soft,6,7,7,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Pgaellus erythrinus ,ורדית שושנית,TRUE,soft,4,5,5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Sparus aurata ,ספרוס זהוב,TRUE,hard,10,1,12,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Upeneus moluccensis ,אופון צהוב-פס,FALSE,soft,6,10,7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Pomadasys stridens ,גממית הפסים,FALSE,soft,9,2,11,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Pagellus acarne ,ורדית קמורה,TRUE,soft,11,12,11,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Mullus barbatus ,מולית אדומה,TRUE,soft,3,6,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Mullus surmulets ,מולית הפסים,TRUE,soft,3,6,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Solea solea ,סולית מצויה,TRUE,soft,4,5,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Pagrus pagrus ,ספרוס שווה-קוצים,TRUE,soft,3,6,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Pomadasys incises ,גממית ים-תיכונית,TRUE,hard,8,10,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Diplodus annularis ,סרגוס הטבעת,TRUE,hard,3,5,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Sillago erythrea ,סילגו נודד,FALSE,soft,5,9,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Lithognathus mormyrus ,שישן מסורטט,TRUE,soft,5,9,7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Siganus rivulatus ,סיכן משויש,FALSE,hard,5,7,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Diplodus cervinus ,סרגוס הפסים,TRUE,hard,4,7,6,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Diplodus vulgaris ,סרגוס כתפי,TRUE,hard,12,2,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Diplodus sargus ,סרגוס מסורטט,TRUE,hard,1,3,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Euthynnus alletteratus ,טונית אטלנטית,TRUE,pelagic,5,9,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Trachinotus ovatus ,כחלון ים-תיכוני,TRUE,hard,8,10,8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Xiphias gladius ,דג החרב,TRUE,pelagic,6,7,6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sciaena umbra ,אוכם גדול-קוץ,TRUE,hard,7,8,7,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sargocentron rubrum ,ברקן אדום,FALSE,hard,7,8,7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Epinephelus costae ,דקר אלכסנדרוני,TRUE,hard,5,10,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Pagrus auriga ,ספרוס הפסים,TRUE,hard,9,12,12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Oblada melanura ,אובלד שחור-זנב,TRUE,hard,6,7,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Siganus luridus ,סיכן הודי,FALSE,hard,5,7,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
